# North Region
ISL,RWP,15,20,80,LOCAL,1
ISL,PSH,170,120,100,ARTERIAL,1
RWP,PSH,160,115,100,ARTERIAL,1

# Central Punjab
ISL,LHR,380,240,120,M2,1
RWP,LHR,350,220,120,M2,1
LHR,GRW,70,50,80,LOCAL,1
GRW,SKT,40,35,80,LOCAL,1
SKT,FSD,150,120,100,ARTERIAL,1
LHR,FSD,140,100,120,ARTERIAL,1

# Mid Punjab to South
FSD,SWL,110,90,100,ARTERIAL,1
SWL,MLT,110,90,100,ARTERIAL,1
MLT,BWP,100,80,100,ARTERIAL,1
BWP,DGK,90,75,100,ARTERIAL,1

# Balochistan
DGK,QTA,600,420,110,N70,1
QTA,SUK,480,390,120,N65,1

# Sindh
SUK,HYD,480,350,120,M6,1
HYD,KHI,170,140,120,M9,1

# Cross region
MLT,HYD,700,500,120,N55,1
DGK,SUK,450,350,110,N55,1
